label,name,notice,furigana
可燃ごみ・ビン,アイスクリームの容器 紙製,,あ
不燃ごみ・本・商品プラスチック,アイスクリームの容器 プラスチック製,,あ
プラスチック製容器包装・油・特定処理品目,油（サラダ油・オリーブ油等の植物油のみ）,ペットボトルに入れ廃食用油,あ
可燃ごみ・ビン,アイスクリームの容器 紙製,,あ
不燃ごみ・本・商品プラスチック,アイスノン,,あ
不燃ごみ・本・商品プラスチック,アイスピック,,あ
不燃ごみ・本・商品プラスチック,アルミ箔,,あ
不燃ごみ・本・商品プラスチック,アルミホイル（冷凍食品などのアルミ容器含む）,,あ
不燃ごみ・本・商品プラスチック,アルバム,,あ
不燃ごみ・本・商品プラスチック,アイロン,,あ
不燃ごみ・本・商品プラスチック,アイロン台,50cm以上は大型,あ
不燃ごみ・本・商品プラスチック,アタッシュケース,50cm以上は大型,あ
不燃ごみ・本・商品プラスチック,油の缶（一斗缶入り食用油）,中身を空にして,あ
不燃ごみ・本・商品プラスチック,アンテナ（テレビ用）,50cm以上は大型,あ
不燃ごみ・本・商品プラスチック,アイスクリームの容器（プラスチック製）,,あ
プラスチック製容器包装・油・特定処理品目,油（サラダ油・オリーブ油等の植物油のみ）,ペットボトルに入れ廃食用油,あ
カン・なべ類,油の缶（食用油）,中身を空にして,あ
その他資源,衣装箱 紙製,,い
可燃ごみ・ビン,板（木製）,,い
可燃ごみ・ビン,犬・猫用シート・砂,,い
不燃ごみ・本・商品プラスチック,板（木製以外）,50cm以上は大型,い
不燃ごみ・本・商品プラスチック,板ガラス,50cm以上は大型:1枚1点,い
不燃ごみ・本・商品プラスチック,一輪車（レジャー用・子供用・大人用）,,い
不燃ごみ・本・商品プラスチック,一斗缶（油・醤油・ペンキ）,,い
不燃ごみ・本・商品プラスチック,印鑑,プラスチック製は商プラ,い
不燃ごみ・本・商品プラスチック,板（プラスチック製）,50cm以上は大型商プラ,い
不燃ごみ・本・商品プラスチック,衣装箱（プラスチック製）,50cm未満は商プラ,い
不燃ごみ・本・商品プラスチック,椅子（折りたたみ式含）（プラスチック製）,50cm未満は商プラ,い
不燃ごみ・本・商品プラスチック,犬小屋（プラスチック製）,50cm未満は商プラ,い
その他資源,衣装箱（紙製）,十文字に縛って（ダンボール）,い
可燃ごみ・ビン,植木鉢 木製,50cm以上は大型,う
不燃ごみ・本・商品プラスチック,植木鉢（木製以外、プラスチック製以外。素焼等）,50cm以上は大型,う
不燃ごみ・本・商品プラスチック,ウェットスーツ,,う
不燃ごみ・本・商品プラスチック,浮き輪・浮き袋,50cm以上は大型,う
不燃ごみ・本・商品プラスチック,腕時計,,う
不燃ごみ・本・商品プラスチック,植木鉢（プラスチック製）,50cm以上は大型商プラ,う
プラスチック製容器包装・油・特定処理品目,うがい薬の容器,,う
プラスチック製容器包装・油・特定処理品目,ウォッシャー液の容器,,う
可燃ごみ・ビン,枝（竹・シュロ・つる性樹木・キョウチクトウ）,50cm未満に切って束ねて出す,え
可燃ごみ・ビン,枝（直径1cm未満でかつ竹・シュロ・つる性樹木・キョウチクトウ以外）,50cm未満に切って束ねて出す,え
可燃ごみ・ビン,エンジンオイル（少量）,固形剤・布または紙に染み込ませる,え
不燃ごみ・本・商品プラスチック,エアーコンプレッサー,50cm以上は大型,え
不燃ごみ・本・商品プラスチック,枝きりハサミ,50cm以上は大型,え
不燃ごみ・本・商品プラスチック,MD・MO・CD,ケースは商プラ,え
不燃ごみ・本・商品プラスチック,絵の具,,え
不燃ごみ・本・商品プラスチック,園芸用支柱,★不燃ごみ指定P4を参照,え
不燃ごみ・本・商品プラスチック,エンジンオイルの缶,中身を空にして,え
不燃ごみ・本・商品プラスチック,鉛筆削り,,え
可燃ごみ・ビン,オイル（少量）,紙・布・吸着剤に吸わせて,お
可燃ごみ・ビン,おむつ（おむつ・尿とりパッド）,免除品目（無料・透明袋）,お
可燃ごみ・ビン,おむつ（ペット用）,,お
不燃ごみ・本・商品プラスチック,オアシス（生け花用）,,お
不燃ごみ・本・商品プラスチック,オーブントースター,,お
不燃ごみ・本・商品プラスチック,おもちゃ（金属製）,50cm以上は大型,お
不燃ごみ・本・商品プラスチック,温水洗浄便座,50cm以上は大型,お
不燃ごみ・本・商品プラスチック,おもちゃ（プラスチック製）,50cm以上は大型商プラ。ねじ・ビスなどの他素材含は不燃,お
プラスチック製容器包装・油・特定処理品目,オイルライター,無料・透明袋,お
プラスチック製容器包装・油・特定処理品目,温度計（水銀入り）,無料・透明袋,お
カン・なべ類,菓子箱 金属製,,か
可燃ごみ・ビン,貝殻,,か
可燃ごみ・ビン,紙コップ・紙皿,,か
可燃ごみ・ビン,乾燥剤,,か
可燃ごみ・ビン,感熱紙,,か
不燃ごみ・本・商品プラスチック,カイロ（金属・樹脂製など）,使い捨ては可燃,か
不燃ごみ・本・商品プラスチック,カーテンレール,★不燃ごみ指定P4を参照,か
不燃ごみ・本・商品プラスチック,鏡（枠付き・姿見も含む）,50cm以上は大型,か
